name;price;marketcap
Bitcoin;$30,454.89;$580.08B
Ethereum;$2,065.01;$249.64B
Tether;$0.9992;$73.21B
BNB;$328.28;$53.60B
USD Coin;$1.00;$53.18B
XRP;$0.4244;$20.52B
Cardano;$0.5499;$18.56B
Binance USD;$1.00;$18.55B
Solana;$53.61;$18.19B
Dogecoin;$0.08782;$11.65B
Polkadot;$10.35;$10.22B
Avalanche;$32.10;$8.65B
Wrapped Bitcoin;$30,497.39;$8.44B
TRON;$0.07789;$7.45B
Shiba Inu;$0.00001252;$6.87B
Dai;$1.00;$6.57B
Polygon;$0.6894;$5.48B
Litecoin;$72.30;$5.09B
Cronos;$0.197;$4.98B
UNUS SED LEO;$4.97;$4.74B
NEAR Protocol;$6.37;$4.43B
Uniswap;$5.92;$4.26B
FTX Token;$30.89;$4.21B
Bitcoin Cash;$199.77;$3.81B
Chainlink;$7.51;$3.51B
